2025-09-17 22:46:36 | Exception: syntax error, unexpected token "}", expecting ";" | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 492
2025-09-17 22:48:27 | Exception: 404 Not Found: The requested URL /hhh was not found on this server. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 489
2025-09-17 23:26:43 | Exception: 500 Internal Server Error: Method list() not found in class App\Controller\Admin\UserController | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 557
2025-09-17 23:31:19 | Exception: SQLSTATE[HY000]: General error: 1 no such table: categories | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-09-17 23:31:31 | Exception: SQLSTATE[HY000]: General error: 1 no such table: category | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-09-22 21:13:35 | Exception: View file not found: C:\laragon\www\DocTruyenHay\resource/view/client/welcome.php | File: C:\laragon\www\DocTruyenHay\src\Application\View.php | Line: 72
2025-09-22 21:26:57 | Exception: 500 Internal Server Error: Method login() not found in class App\Controller\Author\AuthorController | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 741
2025-09-22 21:28:19 | Exception: View file not found: C:\laragon\www\DocTruyenHay\resource/view/author/login/php.php | File: C:\laragon\www\DocTruyenHay\src\Application\View.php | Line: 72
2025-09-22 21:54:16 | Exception: SQLSTATE[HY000]: General error: 1 no such table: users | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-09-22 21:54:59 | Exception: SQLSTATE[HY000]: General error: 1 no such table: users | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-09-22 21:55:00 | Exception: SQLSTATE[HY000]: General error: 1 no such table: users | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-09-22 21:56:22 | Exception: SQLSTATE[HY000]: General error: 1 no such table: users | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 33
2025-09-22 23:05:19 | Exception: Duplicate route detected: GET /author/stories  | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 93
2025-09-22 23:08:17 | Exception: Duplicate route detected: POST /author/login  | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 139
